feature,mean_abs_shap
country,0.9827656161068877
agent,0.7735881746293646
required_car_parking_spaces,0.31852541562664055
deposit_type_Non Refund,0.199378120342879
lead_time,0.17640931399370208
deposit_type_No Deposit,0.1559854451648443
previous_cancellations,0.13851458775236403
market_segment_Offline TA/TO,0.10853932925324612
arrival_date_year,0.09320534193450031
adr,0.08150894638094221
customer_type_Transient-Party,0.08112349407499982
customer_type_Transient,0.08073493583716793
adults,0.07849833638838706
market_segment_Groups,0.07687681876405114
arrival_date_week_number,0.07595020500103157
arrival_date_day_of_month,0.06562963838428368
days_in_waiting_list,0.052813723126186686
total_stay,0.04873332264577409
total_of_special_requests,0.04081912444729029
hotel_Resort Hotel,0.03503123652554283
arrival_season_Winter,0.03474982816255599
stays_in_weekend_nights,0.03219640238437714
hotel_City Hotel,0.03124859662452651
market_segment_Online TA,0.031213851711949087
meal_HB,0.030666531250254387
stays_in_week_nights,0.026402006757303018
adr_per_person,0.025444754591475507
arrival_date_month_February,0.024331741293087596
arrival_season_Fall,0.022463157919704636
previous_bookings_not_canceled,0.018593030612334402
customer_type_Contract,0.014530043174442071
arrival_date_month_September,0.013341591308663447
meal_SC,0.009725729342185734
market_segment_Corporate,0.00900937297740311
meal_Undefined,0.008578927760385087
market_segment_Direct,0.008449883880452244
children,0.008427427089519138
arrival_season_Summer,0.008272883367924807
meal_BB,0.008232202313774696
is_repeated_guest,0.007983991067008039
arrival_date_month_May,0.007894139989445501
arrival_date_month_January,0.007850437037322992
arrival_date_month_August,0.007124340709193708
arrival_season_Spring,0.006657617995835251
arrival_date_month_June,0.005893625548494941
distribution_channel_TA/TO,0.005506886672915448
distribution_channel_Direct,0.0049029827227175535
distribution_channel_Corporate,0.003858829062746456
meal_FB,0.003382710615166995
arrival_date_month_March,0.003023826364428545
arrival_date_month_October,0.0021527553588704734
babies,0.00213720983747249
market_segment_Aviation,0.002068211438050404
arrival_date_month_November,0.002053285950458509
arrival_date_month_April,0.0020134120000045866
arrival_date_month_July,0.0014735097140339245
arrival_date_month_December,0.0013551053097056655
customer_type_Group,0.0008431203168089426
distribution_channel_GDS,0.000760817474144729
deposit_type_Refundable,0.0006498863984182513
market_segment_Complementary,0.000515175911665725
distribution_channel_Undefined,3.204079504258383e-06
market_segment_Undefined,1.9837034030807548e-07
